Gene_ID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000048280,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000048281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048285,1,2,3,0,0,1,5,0,0,0,0,1,0,0,0,1,0,4,0,0,1,2,1
ENSMUSG00000048292,2,1,4,0,0,2,2,0,4,0,0,6,6,0,0,0,2,3,5,6,5,2,3
ENSMUSG00000048294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048307,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
ENSMUSG00000048310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000048312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048316,245,479,509,352,46,204,619,128,156,22,318,584,513,14,475,394,145,408,62,149,129,899,536
ENSMUSG00000048327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048330,0,0,2,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0
ENSMUSG00000048332,7,2,8,1,3,0,5,1,0,0,3,5,7,0,3,2,2,8,0,0,1,3,3
ENSMUSG00000048334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048351,0,1,2,2,4,1,3,0,0,0,0,0,1,3,1,3,0,1,0,2,4,0,0
ENSMUSG00000048355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048368,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,1,1,0,1,0,3,1
ENSMUSG00000048371,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0
ENSMUSG00000048373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048376,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0
ENSMUSG00000048377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048378,5,4,4,2,0,3,2,0,0,0,0,9,4,0,0,1,0,2,2,4,2,7,3
ENSMUSG00000048379,1,0,3,0,0,0,2,0,0,0,1,2,2,0,0,2,0,2,0,0,0,0,0
ENSMUSG00000048385,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048402,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048406,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0
ENSMUSG00000048410,3,0,5,1,0,0,4,1,0,0,0,3,5,0,1,5,0,3,0,1,2,6,3
