"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000042851",2.42223173104956e-05,295.597126506912,0.095,1,0.0484446346209912
"ENSMUSG00000050954",2.42223173104956e-05,286.080318579837,0.095,1,0.0484446346209912
"ENSMUSG00000058248",2.42223173104956e-05,261.483814616608,0.095,1,0.0484446346209912
"ENSMUSG00000048612",2.42223173104956e-05,245.901287359606,0.095,1,0.0484446346209912
"ENSMUSG00000062151",2.42223173104956e-05,215.038786521621,0.095,1,0.0484446346209912
"ENSMUSG00000103891",2.42223173104956e-05,212.264419936433,0.095,1,0.0484446346209912
"ENSMUSG00000048280",2.42223173104956e-05,178.195802286601,0.095,1,0.0484446346209912
"ENSMUSG00000102555",2.42223173104956e-05,164.545625945811,0.095,1,0.0484446346209912
"ENSMUSG00000033538",2.42223173104956e-05,148.28936480074,0.095,1,0.0484446346209912
"ENSMUSG00000070047",2.42223173104956e-05,135.797170683416,0.095,1,0.0484446346209912
"ENSMUSG00000053552",2.42223173104956e-05,130.8964421781,0.095,1,0.0484446346209912
"ENSMUSG00000031221",2.42223173104956e-05,108.103828802182,0.095,1,0.0484446346209912
"ENSMUSG00000003134",2.42223173104956e-05,92.3807551139867,0.095,1,0.0484446346209912
"ENSMUSG00000036968",2.42223173104956e-05,86.8298550636953,0.095,1,0.0484446346209912
"ENSMUSG00000025940",2.42223173104956e-05,75.5823387541607,0.095,1,0.0484446346209912
"ENSMUSG00000032198",2.42223173104956e-05,63.6947597273475,0.095,1,0.0484446346209912
"ENSMUSG00000071324",2.42223173104956e-05,43.4194692044798,0.095,1,0.0484446346209912
"ENSMUSG00000001134",2.42223173104956e-05,36.942684420858,0.095,1,0.0484446346209912
"ENSMUSG00000027495",2.42223173104956e-05,31.0903594214972,0.095,1,0.0484446346209912
"ENSMUSG00000026153",2.42223173104956e-05,24.3265976672852,0.095,1,0.0484446346209912
"ENSMUSG00000031004",2.42223173104956e-05,21.5374947720244,0.095,1,0.0484446346209912
"ENSMUSG00000025878",2.42223173104956e-05,14.0861291028555,0.095,1,0.0484446346209912
"ENSMUSG00000060519",2.42223173104956e-05,11.839968837549,0.095,1,0.0484446346209912
"ENSMUSG00000026922",2.42223173104956e-05,4.34490799118839,0.095,1,0.0484446346209912
"ENSMUSG00000042724",2.57353925534707e-05,-4.90201316352375,0.19,0.083,0.0514707851069414
"ENSMUSG00000044167",2.57353925534707e-05,-14.1361388918836,0.19,0.917,0.0514707851069414
"ENSMUSG00000030235",2.57353925534707e-05,-55.09483820516,0.19,0.917,0.0514707851069414
"ENSMUSG00000039765",2.57353925534707e-05,-64.4072177834603,0.19,0.083,0.0514707851069414
"ENSMUSG00000049516",2.57353925534707e-05,-93.3021590235315,0.19,0.083,0.0514707851069414
"ENSMUSG00000048232",2.57353925534707e-05,-156.077941519927,0.19,0.083,0.0514707851069414
"ENSMUSG00000021534",2.57353925534707e-05,-156.553512140164,0.19,0.083,0.0514707851069414
"ENSMUSG00000038671",2.57353925534707e-05,-158.838082473523,0.19,0.083,0.0514707851069414
"ENSMUSG00000026163",2.74440548589668e-05,159.628103126022,0.238,0.083,0.0548881097179336
