"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","ensembl_gene_id"
"104",0.00621187800723587,Inf,0.613,0.453,1,"3","ENSMUSG00000019970"
"105",0.00664672058938028,Inf,0.548,0.403,1,"3","ENSMUSG00000036323"
"106",0.00894816619826956,Inf,0.516,0.365,1,"3","ENSMUSG00000060152"
"107",2.75284041814713e-11,Inf,0.833,0.475,5.50568083629426e-08,"4","ENSMUSG00000029761"
"108",1.8499401176872e-09,Inf,0.833,0.612,3.69988023537439e-06,"4","ENSMUSG00000048583"
"109",3.97013094603651e-08,Inf,0.7,0.306,7.94026189207303e-05,"4","ENSMUSG00000024620"
"110",1.841889722689e-06,Inf,0.7,0.375,0.003683779445378,"4","ENSMUSG00000026043"
"111",6.11197130023805e-06,Inf,0.633,0.369,0.0122239426004761,"4","ENSMUSG00000030247"
"112",8.69039979964787e-06,Inf,0.867,0.581,0.0173807995992957,"4","ENSMUSG00000029838"
"113",1.21764051812884e-05,Inf,0.733,0.431,0.0243528103625767,"4","ENSMUSG00000058013"
"114",6.51138308372645e-05,Inf,0.6,0.312,0.130227661674529,"4","ENSMUSG00000036814"
"115",6.5732852981221e-05,Inf,0.7,0.475,0.131465705962442,"4","ENSMUSG00000025492"
"116",8.53279131743548e-05,Inf,0.7,0.331,0.17065582634871,"4","ENSMUSG00000024238"
"117",0.000185556558551678,Inf,0.567,0.194,0.371113117103356,"4","ENSMUSG00000039607"
"118",0.000244706550787596,Inf,0.633,0.344,0.489413101575191,"4","ENSMUSG00000021390"
"119",0.00120054457637554,Inf,0.567,0.375,1,"4","ENSMUSG00000003617"
"120",0.00179291329401151,Inf,0.533,0.338,1,"4","ENSMUSG00000022548"
"121",0.00195366786579086,Inf,0.5,0.362,1,"4","ENSMUSG00000020928"
"122",0.00256893249113261,Inf,0.633,0.419,1,"4","ENSMUSG00000019929"
"123",0.00522222976352739,Inf,0.433,0.225,1,"4","ENSMUSG00000030220"
"124",0.00565225920451232,Inf,0.533,0.325,1,"4","ENSMUSG00000030516"
"125",0.00811570230267592,Inf,0.533,0.344,1,"4","ENSMUSG00000013584"
